;OBJECTID;√.rea;NOME;NOME2;REGIAO_ADM;AREA_PLANE;CODBAIRRO;CODRA;CODBNUM;LINK;SHAPESTAre;SHAPESTLen;RP;Cod_RP;CODBAIRRO_
0;425;36.381.761.980.746;Sa√∫de;SA⁄DE;PORTUARIA;1;1;1;1;Sa√∫de                     &area=1;363.817.622.558.594;264.621.698.637.809;Centro;1.1;1
1;420;111.290.275.309.134;Gamboa;GAMBOA;PORTUARIA;1;2;1;2;Gamboa                    &area=2;111.290.274.121.094;461.282.741.384.631;Centro;1.1;2
2;421;168.472.059.264.746;Santo Cristo;SANTO CRISTO;PORTUARIA;1;3;1;3;Santo Cristo              &area=3;168.472.066.113.281;6.743.218.804.425;Centro;1.1;3
3;482;534.748.058.151.952;Caju;CAJU;PORTUARIA;1;4;1;4;Caju                      &area=4;534.748.057.666.016;198.004.959.422.699;Centro;1.1;4
4;422;572.306.497.848.199;Centro;CENTRO;CENTRO;1;5;2;5;Centro                    &area=5;54.247.391.953.125;228.462.143.055.262;Centro;1.1;5
5;443;53.945.844.255.646;Catumbi;CATUMBI;RIO COMPRIDO;1;6;3;6;Catumbi                   &area=6;539.458.441.894.531;512.370.530.264.098;Centro;1.1;6
6;439;334.251.061.257.775;Rio Comprido;RIO COMPRIDO;RIO COMPRIDO;1;7;3;7;Rio Comprido              &area=7;334.251.064.160.156;126.810.617.119.543;Centro;1.1;7
7;434;93.485.288.183.123;Cidade Nova;CIDADE NOVA;RIO COMPRIDO;1;8;3;8;Cidade Nova               &area=8;934.852.883.789.062;47.901.101.594.405;Centro;1.1;8
8;441;98.040.065.161.708;Est√°cio;EST¡CIO;RIO COMPRIDO;1;9;3;9;Est√°cio                   &area=9;980.400.665.039.062;526.942.559.088.919;Centro;1.1;9
9;412;410.564.391.767.016;S√£o Crist√≥v√£o;S√O CRIST”V√O;SAO CRISTOVAO;1;10;7;10;S√£o Crist√≥v√£o             &area=10;410.564.388.916.016;1.412.906.575.644;Centro;1.1;10
10;428;79.812.892.857.027;Mangueira;MANGUEIRA;SAO CRISTOVAO;1;11;7;11;Mangueira                 &area=11;798.128.920.898.438;448.900.342.263.278;Centro;1.1;11
11;410;173.641.278.176.939;Benfica;BENFICA;SAO CRISTOVAO;1;12;7;12;Benfica                   &area=12;173.641.280.761.719;909.797.824.523.154;Centro;1.1;12
12;325;170.568.449.376.977;Paquet√°;PAQUET¡;PAQUETA;1;13;21;13;Paqueta&area=013;170.568.450.390.625;2.484.142.666.857;Centro;1.1;13
13;440;515.712.861.092.216;Santa Teresa;SANTA TEREZA;SANTA TEREZA;1;14;23;14;Santa Teresa              &area=14;515.712.851.367.188;273.448.039.965.967;Centro;1.1;14
14;448;164.625.360.622.931;Flamengo;FLAMENGO;BOTAFOGO;2;15;4;15;Flamengo                  &area=15;164.625.358.740.234;666.534.040.366.758;Zona Sul;2.1;15
15;438;114.006.553.163.558;Gl√≥ria;GL”RIA;BOTAFOGO;2;16;4;16;Gl√≥ria                    &area=16;114.006.548.193.359;722.523.890.703.653;Zona Sul;2.1;16
16;449;249.350.731.693.661;Laranjeiras;LARANJEIRAS;BOTAFOGO;2;17;4;17;Laranjeiras               &area=17;249.350.737.158.203;105.371.143.694.833;Zona Sul;2.1;17
17;447;68.102.675.695.711;Catete;CATETE;BOTAFOGO;2;18;4;18;Catete                    &area=18;681.026.732.910.156;426.014.191.189.211;Zona Sul;2.1;18
18;453;89.254.006.808.838;Cosme Velho;COSME VELHO;BOTAFOGO;2;19;4;19;Cosme Velho               &area=19;892.540.065.917.969;788.967.124.202.991;Zona Sul;2.1;19
19;455;479.895.578.408.647;Botafogo;BOTAFOGO;BOTAFOGO;2;20;4;20;Botafogo                  &area=20;479.895.583.154.297;121.363.757.364.593;Zona Sul;2.1;20
20;462;105.447.532.969.791;Humait√°;HUMAIT¡;BOTAFOGO;2;21;4;21;Humait√°                   &area=21;105.447.531.884.766;710.084.656.859.579;Zona Sul;2.1;21
21;456;231.900.183.349.054;Urca;URCA;BOTAFOGO;2;22;4;22;Urca                      &area=22;231.900.183.740.234;141.385.054.761.907;Zona Sul;2.1;22
22;467;97.719.903.753.535;Leme;LEME;COPACABANA;2;23;5;23;Leme                      &area=23;977.199.051.269.531;704.532.226.638.234;Zona Sul;2.1;23
23;466;410.085.014.498.287;Copacabana;COPACABANA;COPACABANA;2;24;5;24;Copacabana                &area=24;4.100.850.171.875;128.034.992.366.049;Zona Sul;2.1;24
24;473;30.849.071.744.739;Ipanema;IPANEMA;LAGOA;2;25;6;25;Ipanema                   &area=25;308.490.722.021.484;234.875.271.301.759;Zona Sul;2.1;25
25;472;215.309.596.513.975;Leblon;LEBLON;LAGOA;2;26;6;26;Leblon                    &area=26;21.530.959.453.125;718.866.282.520.201;Zona Sul;2.1;26
26;468;51.098.932.937.488;Lagoa;LAGOA;LAGOA;2;27;6;27;Lagoa                     &area=27;510.989.328.710.938;10.368.039.672.054;Zona Sul;2.1;27
27;464;26.892.037.218.346;Jardim Bot√¢nico;JARDIM BOT¬NICO;LAGOA;2;28;6;28;Jardim Bot√¢nico           &area=28;268.920.373.388.672;122.631.154.578.913;Zona Sul;2.1;28
28;470;257.963.659.628.999;G√°vea;G¡VEA;LAGOA;2;29;6;29;G√°vea                     &area=29;257.963.659.130.859;142.685.056.801.332;Zona Sul;2.1;29
29;478;162.137.787.157.512;Vidigal;VIDIGAL;LAGOA;2;30;6;30;Vidigal                   &area=30;162.137.786.816.406;755.334.450.693.961;Zona Sul;2.1;30
30;474;648.856.581.999.328;S√£o Conrado;S√O CONRADO;LAGOA;2;31;6;31;S√£o Conrado               &area=31;648.856.579.443.359;133.118.929.554.424;Zona Sul;2.1;31
31;435;71.990.971.116.111;Pra√ßa da Bandeira;PRA«A DA BANDEIRA;TIJUCA;2;32;8;32;Pra√ßa da Bandeira         &area=32;719.909.698.242.188;472.730.612.153.057;Tijuca;2.2;32
32;442;100.655.585.357.979;Tijuca;TIJUCA;TIJUCA;2;33;8;33;Tijuca                    &area=33;100.655.584.926.758;206.288.255.717.032;Tijuca;2.2;33
33;452;314.956.759.890.578;Alto da Boa Vista;ALTA DA BOA VISTA;TIJUCA;2;34;8;34;Alto da Boa Vista         &area=34;314.956.760.087.891;437.444.112.472.159;Tijuca;2.2;34
34;437;166.730.222.326.824;Maracan√£;MARACAN√;VILA ISABEL;2;35;9;35;Maracan√£                  &area=35;1.667.302.203.125;847.331.547.614.646;Tijuca;2.2;35
35;436;321.712.596.079.063;Vila Isabel;VILA ISABEL;VILA ISABEL;2;36;9;36;Vila Isabel               &area=36;321.712.590.039.062;901.456.553.650.904;Tijuca;2.2;36
36;446;226.130.044.834.985;Andara√≠;ANDARAÕ;VILA ISABEL;2;37;9;37;Andara√≠                   &area=37;2.261.300.484.375;99.380.989.208.276;Tijuca;2.2;37
37;444;573.910.455.070.271;Graja√∫;GRAJA⁄;VILA ISABEL;2;38;9;38;Graja√∫                    &area=38;573.910.451.953.125;128.337.138.036.626;Tijuca;2.2;38
38;393;261.835.124.054.182;Manguinhos;MANGUINHOS;RAMOS;3;39;10;39;Manguinhos                &area=39;261.835.122.753.906;809.039.875.347.362;Ramos;3.1;39
39;381;219.971.621.112.213;Bonsucesso;BONSUCESSO;RAMOS;3;40;10;40;Bonsucesso                &area=40;219.971.617.089.844;85.589.947.033.752;Ramos;3.1;40
40;369;279.353.297.395.372;Ramos;RAMOS;RAMOS;3;41;10;41;Ramos                     &area=41;2793533;891.169.290.383.769;Ramos;3.1;41
41;363;368.983.318.289.709;Olaria;OLARIA;RAMOS;3;42;10;42;Olaria                    &area=42;368.983.324.707.031;122.309.938.729.447;Ramos;3.1;42
42;352;581.132.326.170.599;Penha;PENHA;PENHA;3;43;11;43;Penha                     &area=43;581.132.313.867.188;13.667.775.663.549;Penha;3.5;43
43;343;462.338.185.868.704;Penha Circular;PENHA CIRCULAR;PENHA;3;44;11;44;Penha Circular            &area=44;462.338.189.599.609;166.394.005.517.339;Penha;3.5;44
44;351;352.222.190.771.964;Br√°s de Pina;BR¡Z DE PINA;PENHA;3;45;11;45;Br√°s de Pina              &area=45;352.222.185.253.906;125.916.102.461.801;Penha;3.5;45
45;338;385.680.099.586.627;Cordovil;CORDOVIL;VIGARIO GERAL;3;46;31;46;Cordovil                  &area=46;385.680.106.689.453;139.477.037.648.181;Penha;3.5;46
46;340;219.796.870.250.891;Parada de Lucas;PARADA DE LUCAS;VIGARIO GERAL;3;47;31;47;Parada de Lucas           &area=47;219.796.869.482.422;921.670.181.348.991;Penha;3.5;47
47;333;33.853.080.436.136;Vig√°rio Geral;VIG¡RIO GERAL;VIGARIO GERAL;3;48;31;48;Vig√°rio Geral             &area=48;338.530.803.125;807.708.229.741.358;Penha;3.5;48
48;335;197.396.847.076.821;Jardim Am√©rica;JARDIM AM…RICA;VIGARIO GERAL;3;49;31;49;Jardim Am√©rica            &area=49;197.396.844.726.562;61.297.775.985.364;Penha;3.5;49
49;392;115.747.279.742;Higien√≥polis;HIGIEN¡POLIS;INHAUMA;3;50;12;50;Higien√≥polis              &area=50;115.747.279.248.047;494.438.476.828.704;Inha√∫ma;3.4;50
50;416;84.256.563.921.663;Jacar√©;JACAR…;MEIER;3;51;13;51;Jacar√©                    &area=51;842.565.642.089.844;680.902.168.186.373;M√©ier;3.2;51
51;400;8.249.897.271.257;Maria da Gra√ßa;MARIA DA GRA«A;INHAUMA;3;52;12;52;Maria da Gra√ßa            &area=52;824.989.740.722.656;484.242.951.150.049;Inha√∫ma;3.4;52
52;396;14.409.144.787.772;Del Castilho;DEL CASTILHO;INHAUMA;3;53;12;53;Del Castilho              &area=53;144.091.446.484.375;529.482.106.896.941;Inha√∫ma;3.4;53
53;382;348.527.432.824.691;Inha√∫ma;INHA⁄MA;INHAUMA;3;54;12;54;Inha√∫ma                   &area=54;348.527.429.931.641;131.647.959.547.041;Inha√∫ma;3.4;54
54;375;222.564.493.887.626;Engenho da Rainha;ENGENHO DA RAINHA;INHAUMA;3;55;12;55;Engenho da Rainha         &area=55;222.564.496.826.172;918.881.033.038.988;Inha√∫ma;3.4;55
55;383;174.752.648.916.912;Tom√°s Coelho;TOM¡S COELHO;INHAUMA;3;56;12;56;Tom√°s Coelho              &area=56;174.752.648.583.984;840.383.792.077.929;Inha√∫ma;3.4;56
56;426;64.890.760.667.502;S√£o Francisco Xavier;S√O FRANCISCO XAVIER;MEIER;3;57;13;57;S√£o Francisco Xavier      &area=57;648.907.600.097.656;546.216.704.733.273;M√©ier;3.2;57
57;418;131.162.555.053.827;Rocha;ROCHA;MEIER;3;58;13;58;Rocha                     &area=58;131.162.560.009.766;57.179.342.258.195;M√©ier;3.2;58
58;424;92.810.848.364.517;Riachuelo;RIACHUELO;MEIER;3;59;13;59;Riachuelo                 &area=59;928.108.497.070.312;534.252.973.823.938;M√©ier;3.2;59
59;423;88.440.849.360.752;Sampaio;SAMPAIO;MEIER;3;60;13;60;Sampaio                   &area=60;884.408.477.050.781;579.371.418.835.473;M√©ier;3.2;60
60;427;264.484.710.210.464;Engenho Novo;ENGENHO NOVO;MEIER;3;61;13;61;Engenho Novo              &area=61;264.484.710.009.766;105.956.752.393.661;M√©ier;3.2;61
61;432;266.919.757.881.052;Lins de Vasconcelos;LINS DE VASCONCELOS;MEIER;3;62;13;62;Lins de Vasconcelos       &area=62;266.919.755.273.438;953.263.646.704.631;M√©ier;3.2;62
62;419;247.093.314.000.825;M√©ier;M…IER;MEIER;3;63;13;63;M√©ier                     &area=63;247.093.315.234.375;98.366.383.694.477;M√©ier;3.2;63
63;415;101.263.595.598.984;Todos os Santos;TODOS OS SANTOS;MEIER;3;64;13;64;Todos os Santos           &area=64;101.263.596.728.516;616.338.019.919.693;M√©ier;3.2;64
64;408;225.015.973.141.623;Cachambi;CACHAMBI;MEIER;3;65;13;65;Cachambi                  &area=65;225.015.974.560.547;808.174.543.251.095;M√©ier;3.2;65
65;411;392.044.058.893.991;Engenho de Dentro;ENGENHO DE DENTRO;MEIER;3;66;13;66;Engenho de Dentro         &area=66;392.044.057.421.875;119.059.720.150.186;M√©ier;3.2;66
66;431;242.623.184.478.185;√Ågua Santa;¡GUA SANTA;MEIER;3;67;13;67;√Ågua Santa                &area=67;242.623.183.935.547;675.146.065.467.716;M√©ier;3.2;67
67;417;106.014.617.495.072;Encantado;ENCATADO;MEIER;3;68;13;68;Encantado                 &area=68;106.014.617.480.469;59.955.467.333.131;M√©ier;3.2;68
68;397;388.710.031.511.271;Piedade;PIEDADE;MEIER;3;69;13;69;Piedade                   &area=69;388.710.034.375;123.265.319.435.914;M√©ier;3.2;69
69;404;6.163.326.576.004;Aboli√ß√£o;ABOLI«√O;MEIER;3;70;13;70;Aboli√ß√£o                  &area=70;616.332.653.320.312;493.077.011.791.724;M√©ier;3.2;70
70;395;183.642.005.024.481;Pilares;PILARES;MEIER;3;71;13;71;Pilares                   &area=71;183.642.002.978.516;682.872.954.788.753;M√©ier;3.2;71
71;371;151.925.409.234.846;Vila Kosmos;VILA KOSMOS;IRAJA;3;72;14;72;Vila Kosmos               &area=72;151.925.412.988.281;651.185.806.194.965;Madureira;3.3;72
72;373;183.571.062.822.744;Vicente de Carvalho;VICENTE DE CARVALHO;IRAJA;3;73;14;73;Vicente de Carvalho       &area=73;183.571.064.990.234;675.300.761.228.047;Madureira;3.3;73
73;364;143.571.575.350.165;Vila da Penha;VILA DA PENHA;IRAJA;3;74;14;74;Vila da Penha             &area=74;143.571.575.537.109;610.016.240.150.272;Madureira;3.3;74
74;359;51.520.905.667.453;Vista Alegre;VISTA ALEGRE;IRAJA;3;75;14;75;Vista Alegre              &area=75;515.209.051.757.812;358.152.616.617.511;Madureira;3.3;75
75;346;747.783.975.493.211;Iraj√°;IRAJ¡;IRAJA;3;76;14;76;Iraj√°                     &area=76;747.783.976.953.125;184.359.955.415.076;Madureira;3.3;76
76;361;226.111.026.725.769;Col√©gio;COL…GIO;IRAJA;3;77;14;77;Col√©gio                   &area=77;226.111.026.855.469;77.392.217.640.261;Madureira;3.3;77
77;403;98.451.045.625.174;Campinho;CAMPINHO;MADUREIRA;3;78;15;78;Campinho                  &area=78;984.510.431.152.344;481.848.266.144.797;Madureira;3.3;78
78;401;432.379.464.943.885;Quintino Bocai√∫va;QUINTINO BOCAIUVA;MADUREIRA;3;79;15;79;Quintino Bocai√∫va         &area=79;432.379.468.115.234;112.477.200.986.658;Madureira;3.3;79
79;390;192.414.929.334.638;Cavalcanti;CAVALCANTI;MADUREIRA;3;80;15;80;Cavalcanti                &area=80;192.414.928.466.797;624.803.695.079.773;Madureira;3.3;80
80;394;70.827.431.447.071;Engenheiro Leal;ENGENHEIRO LEAL;MADUREIRA;3;81;15;81;Engenheiro Leal           &area=81;7.082.743.046.875;378.502.661.408.976;Madureira;3.3;81
81;398;283.897.071.254.951;Cascadura;CASCADURA;MADUREIRA;3;82;15;82;Cascadura                 &area=82;283.897.070.166.016;905.640.401.839.741;Madureira;3.3;82
82;385;378.761.337.730.026;Madureira;MADUREIRA;MADUREIRA;3;83;15;83;Madureira                 &area=83;378.761.332.128.906;957.436.204.049.823;Madureira;3.3;83
83;377;110.122.091.837.043;Vaz Lobo;VAZ LOBO;MADUREIRA;3;84;15;84;Vaz Lobo                  &area=84;110.122.096.240.234;503.056.732.214.175;Madureira;3.3;84
